date,admissions,discharges,hosp,rea,hosp_rel,icu_rate
2021-04-06,373211,301299,30639,5626,0.9155262057013088,0.8037142857142857
2021-04-07,375505,303639,30904,5729,0.9234446901332696,0.8184285714285714
2021-04-08,377306,305711,30555,5705,0.9130161955417438,0.815
2021-04-09,379688,307674,30326,5757,0.9061734297495966,0.8224285714285714
2021-04-10,381498,309136,30238,5769,0.9035438952967191,0.8241428571428572
2021-04-11,382846,309787,30671,5838,0.9164824000478097,0.834
2021-04-12,384536,310934,31262,5916,0.9341421143847487,0.8451428571428572
2021-04-13,386350,313051,31226,5952,0.9330663957449351,0.8502857142857143
2021-04-14,388426,315152,30868,5902,0.9223689714934561,0.8431428571428572
2021-04-15,390764,317036,30668,5924,0.9163927568278253,0.8462857142857143
2021-04-16,392961,318923,30472,5914,0.9105360664555071,0.8448571428571429
2021-04-17,394555,320275,30329,5877,0.9062630729695811,0.8395714285714285
2021-04-18,395780,320757,30789,5893,0.9200083667005319,0.8418571428571429
2021-04-19,397324,321889,31214,5970,0.9327078228649973,0.8528571428571429
2021-04-20,399217,323961,31086,5984,0.9288830454789936,0.8548571428571429
2021-04-21,401376,325811,30954,5959,0.9249387437996773,0.8512857142857143
2021-04-22,403328,327668,30634,5981,0.9153768003346681,0.8544285714285714
2021-04-23,405494,329405,30438,5962,0.9095201099623499,0.8517142857142858
2021-04-24,407002,330838,30100,5958,0.8994203071774338,0.8511428571428571
2021-04-25,408196,331362,30287,5978,0.9050080678897986,0.854
2021-04-26,409917,332563,30596,6001,0.9142413195481982,0.8572857142857143
2021-04-27,411632,334577,30281,5943,0.9048287814498297,0.849
2021-04-28,413596,336281,29911,5879,0.8937727843184127,0.8398571428571429
2021-04-29,415567,338000,29487,5804,0.8811032092272755,0.8291428571428572
2021-04-30,417354,339650,28930,5675,0.8644594513834937,0.8107142857142857
2021-05-01,419123,340997,28603,5581,0.8546883404051874,0.7972857142857143
2021-05-02,420239,341458,28818,5585,0.8611127711707405,0.7978571428571428
2021-05-03,421460,342451,28950,5630,0.8650570728500567,0.8042857142857143
2021-05-04,422862,344265,28427,5504,0.8494292714994323,0.7862857142857143
2021-05-05,424807,346184,27686,5402,0.8272873961632702,0.7717142857142857
2021-05-06,426650,347768,26985,5231,0.8063407637602342,0.7472857142857143
2021-05-07,428448,349293,26331,5106,0.7867985418036216,0.7294285714285714
2021-05-08,429925,350471,25800,5005,0.7709316918663719,0.715
2021-05-09,430970,350873,25797,4971,0.7708420486463874,0.7101428571428572
2021-05-10,432056,351795,25666,4870,0.7669276280403992,0.6957142857142857
2021-05-11,433360,353370,25028,4743,0.747863503257037,0.6775714285714286
2021-05-12,434898,354860,24254,4583,0.7247355525010458,0.6547142857142857
2021-05-13,436272,355927,23656,4442,0.7068666706508098,0.6345714285714286
2021-05-14,437566,356700,23406,4352,0.6993964023187713,0.6217142857142857
2021-05-15,438385,357613,22950,4271,0.685770632881133,0.6101428571428571
2021-05-16,439250,357928,22963,4255,0.6861590868343991,0.6078571428571429
2021-05-17,440067,358776,22749,4186,0.6797645371421741,0.598
2021-05-18,441214,360213,22058,4015,0.6591167154724198,0.5735714285714286
2021-05-19,442582,361460,21347,3862,0.6378712723361023,0.5517142857142857
2021-05-20,443962,362593,20750,3769,0.6200322715591944,0.5384285714285715
2021-05-21,445134,363600,20209,3631,0.6038666108886631,0.5187142857142857
2021-05-22,446111,364391,19765,3544,0.5905994143309627,0.5062857142857143
2021-05-23,446884,364695,19720,3515,0.5892547660311959,0.5021428571428571
2021-05-24,447179,364902,19701,3496,0.5886870256379609,0.49942857142857144
2021-05-25,447962,365739,19430,3447,0.5805892547660312,0.49242857142857144
2021-05-26,448847,367046,18593,3330,0.5555787963903663,0.4757142857142857
2021-05-27,450151,368023,17941,3206,0.53609633658041,0.458
2021-05-28,451318,369109,17272,3104,0.516105898523875,0.44342857142857145
2021-05-29,452310,369789,16847,3028,0.5034064423594096,0.43257142857142855
2021-05-30,452932,370014,16775,2993,0.5012550050797825,0.42757142857142855
2021-05-31,453514,370577,16596,2945,0.4959062929540429,0.4207142857142857
2021-06-01,454235,371500,16088,2825,0.4807267077033407,0.4035714285714286
2021-06-02,455199,372310,15638,2754,0.46728022470567143,0.3934285714285714
2021-06-03,456087,373033,15283,2677,0.45667244367417675,0.38242857142857145
2021-06-04,456826,373818,14801,2571,0.4422697663300066,0.36728571428571427
2021-06-05,457559,374281,14532,2525,0.43423175760473315,0.3607142857142857
2021-06-06,457981,374416,14525,2527,0.43402259009143607,0.361
2021-06-07,458343,374909,14323,2472,0.427986613279149,0.35314285714285715
2021-06-08,458938,375569,13984,2394,0.4178569294209048,0.342
2021-06-09,459657,376342,13526,2326,0.40417139783661027,0.3322857142857143
2021-06-10,460379,376974,13090,2245,0.39114324986553517,0.32071428571428573
2021-06-11,461128,377596,12712,2163,0.379848204147493,0.309
2021-06-12,461689,377961,12496,2110,0.37339389230861175,0.30142857142857143
2021-06-13,462004,378063,12480,2106,0.37291579513536127,0.3008571428571429
2021-06-14,462343,378429,12374,2068,0.3697484013625769,0.29542857142857143
2021-06-15,462725,379108,11895,1952,0.3554353672383912,0.27885714285714286
2021-06-16,463399,379635,11519,1873,0.34420008366700533,0.26757142857142857
2021-06-17,463986,380195,11114,1799,0.33209824896910295,0.257
2021-06-18,464537,380667,10738,1740,0.3208629653977171,0.24857142857142858
2021-06-19,464991,380930,10531,1703,0.3146775832187892,0.2432857142857143
2021-06-20,465248,380979,10518,1703,0.3142891292655232,0.2432857142857143
2021-06-21,465468,381278,10386,1655,0.3103448275862069,0.23642857142857143
2021-06-22,465759,381726,10046,1560,0.3001852626546346,0.22285714285714286
2021-06-23,466255,382124,9771,1509,0.29196796748939224,0.21557142857142858
2021-06-24,466664,382593,9392,1439,0.2806430406980219,0.20557142857142857
2021-06-25,467178,382897,9190,1389,0.27460706388573475,0.19842857142857143
2021-06-26,467451,383122,9024,1349,0.2696468057132612,0.19271428571428573
2021-06-27,467659,383185,8986,1345,0.26851132492679136,0.19214285714285714
2021-06-28,467863,383447,8846,1304,0.26432797466084984,0.18628571428571428
2021-06-29,468133,383768,8627,1250,0.2577840196019841,0.17857142857142858
2021-06-30,468484,384051,8451,1204,0.252524950696229,0.172
2021-07-01,468757,384338,8232,1162,0.24598099563736328,0.166
2021-07-02,469090,384616,8044,1123,0.24036335385167035,0.16042857142857142
2021-07-03,469328,384781,7912,1102,0.23641905217235404,0.15742857142857142
2021-07-04,469501,384812,7913,1104,0.2364489332456822,0.15771428571428572
2021-07-05,469630,385013,7806,1077,0.2332516583995697,0.15385714285714286
2021-07-06,469878,385289,7637,1032,0.2282017570071117,0.14742857142857144
2021-07-07,470178,385490,7539,997,0.22527341182095262,0.14242857142857143
2021-07-08,470376,385720,7384,971,0.22064184545508875,0.1387142857142857
2021-07-09,470670,385950,7275,953,0.21738480846231997,0.13614285714285715
2021-07-10,470878,386122,7183,947,0.2146357497161298,0.1352857142857143
2021-07-11,470993,386141,7183,947,0.2146357497161298,0.1352857142857143
2021-07-12,471258,386424,7137,957,0.2132612203430347,0.1367142857142857
2021-07-13,471545,386704,7076,933,0.21143847487001732,0.13328571428571429
2021-07-14,471718,386839,7047,931,0.21057192374350087,0.133
2021-07-15,471948,387017,7054,914,0.21078109125679795,0.13057142857142856
2021-07-16,472160,387297,6971,899,0.20830096217056115,0.12842857142857142
2021-07-17,472352,387439,6922,890,0.2068367895774816,0.12714285714285714
2021-07-18,472450,387469,6936,891,0.20725512460407577,0.12728571428571428
2021-07-19,472795,387703,7041,902,0.21039263730353194,0.12885714285714286
2021-07-20,473009,388118,6912,876,0.20653797884420008,0.12514285714285714
2021-07-21,473401,388402,6869,859,0.20525309269108946,0.12271428571428572
2021-07-22,473723,388707,6832,868,0.20414749297794776,0.124
2021-07-23,474073,389021,6802,872,0.20325106077810315,0.12457142857142857
2021-07-24,474286,389197,6787,878,0.20280284467818083,0.12542857142857142
2021-07-25,474392,389226,6843,886,0.20447618478455745,0.12657142857142858
2021-07-26,474921,389531,7079,952,0.2115281180900018,0.136
2021-07-27,475236,389996,7137,978,0.2132612203430347,0.1397142857142857
2021-07-28,475663,390367,7208,992,0.21538277654933366,0.1417142857142857
2021-07-29,476064,390784,7236,1015,0.21621944660252196,0.145
2021-07-30,476655,391216,7363,1072,0.2200143429151975,0.15314285714285714
2021-07-31,476982,391581,7409,1099,0.2213888722882926,0.157
2021-08-01,477234,391689,7581,1137,0.22652841690073508,0.16242857142857142
2021-08-02,477738,392055,7840,1232,0.23426761489272693,0.176
2021-08-03,478248,392634,7974,1331,0.2382716787186996,0.19014285714285714
2021-08-04,478817,393129,8134,1371,0.2430526504512042,0.19585714285714287
2021-08-05,479376,393723,8210,1420,0.2453236120241439,0.20285714285714285
2021-08-06,480119,394324,8368,1458,0.25004482160999225,0.2082857142857143
2021-08-07,480435,394709,8425,1510,0.251748042789697,0.21571428571428572
2021-08-08,480867,394910,8685,1556,0.259517121855017,0.22228571428571428
2021-08-09,481412,395310,9022,1667,0.2695870435666049,0.23814285714285716
2021-08-10,481966,396002,9153,1712,0.2735014641725931,0.24457142857142858
2021-08-11,482582,396616,9233,1745,0.27589195003884537,0.24928571428571428
2021-08-12,483357,397162,9465,1807,0.28282435905097714,0.2581428571428571
2021-08-13,483946,397828,9546,1831,0.28524472599055756,0.26157142857142857
2021-08-14,484447,398257,9648,1837,0.2882925954700293,0.26242857142857146
2021-08-15,484727,398445,9798,1852,0.2927747564692524,0.26457142857142857
2021-08-16,485505,398924,10151,1908,0.30332277535409075,0.2725714285714286
2021-08-17,486170,399763,10219,1953,0.3053546883404052,0.279
2021-08-18,487107,400539,10336,2054,0.3088507739197992,0.2934285714285714
2021-08-19,487918,401284,10392,2049,0.3105241140261758,0.2927142857142857
2021-08-20,488729,401946,10515,2091,0.31419948604553877,0.2987142857142857
2021-08-21,489352,402615,10463,2106,0.31264567023247475,0.3008571428571429
2021-08-22,489919,402848,10651,2128,0.3182633120181677,0.304
2021-08-23,490632,403285,11007,2215,0.3289009741229905,0.31642857142857145
2021-08-24,491343,404141,11066,2221,0.33066395744935156,0.3172857142857143
2021-08-25,492164,404823,11171,2239,0.33380147014880773,0.31985714285714284
2021-08-26,492766,405490,11104,2261,0.3317994382358214,0.323
2021-08-27,493725,406229,11162,2270,0.33353254048885433,0.3242857142857143
2021-08-28,494111,406709,11052,2259,0.3302456224227574,0.32271428571428573
2021-08-29,494516,406911,11092,2276,0.3314408653558836,0.3251428571428571
2021-08-30,495171,407355,11245,2290,0.3360126695750911,0.3271428571428571
2021-08-31,495947,408275,11120,2292,0.3322775354090719,0.3274285714285714
2021-09-01,496787,408908,11119,2294,0.3322476543357437,0.32771428571428574
2021-09-02,497413,409615,10934,2275,0.32671965577003526,0.325
2021-09-03,498187,410229,10816,2259,0.3231936891173131,0.32271428571428573
2021-09-04,498707,410710,10654,2223,0.31835295523815216,0.31757142857142856
2021-09-05,499086,410888,10644,2217,0.31805414450487063,0.3167142857142857
2021-09-06,499737,411314,10757,2249,0.321430705790952,0.3212857142857143
2021-09-07,500346,412039,10646,2259,0.31811390665152695,0.32271428571428573
2021-09-08,501031,412721,10438,2224,0.3118986433992709,0.3177142857142857
2021-09-09,501779,413273,10323,2195,0.30846231996653317,0.31357142857142856
2021-09-10,502373,413880,10115,2151,0.30224705671427715,0.3072857142857143
2021-09-11,502893,414243,10018,2131,0.29934859260144625,0.30442857142857144
2021-09-12,503175,414405,10012,2129,0.2991693061614773,0.30414285714285716
2021-09-13,503614,414778,9986,2103,0.2983923982549453,0.30042857142857143
2021-09-14,504199,415490,9739,2000,0.2910117731428913,0.2857142857142857
2021-09-15,504879,416030,9555,1959,0.28551365565051096,0.27985714285714286
2021-09-16,505394,416554,9297,1952,0.27780433873184723,0.27885714285714286
2021-09-17,505996,417059,9070,1891,0.2710213350863563,0.27014285714285713
2021-09-18,506447,417399,8912,1837,0.26630012550050797,0.26242857142857146
2021-09-19,506714,417505,8887,1832,0.26555309866730414,0.26171428571428573
2021-09-20,507039,417826,8845,1805,0.26429809358752165,0.25785714285714284
2021-09-21,507553,418397,8594,1744,0.256797944182155,0.24914285714285714
2021-09-22,508144,418859,8414,1656,0.2514193509830873,0.23657142857142857
2021-09-23,508606,419256,8237,1609,0.24613040100400407,0.22985714285714287
2021-09-24,509074,419628,8107,1586,0.24224586147134405,0.22657142857142856
2021-09-25,509390,419912,7980,1571,0.2384509651586685,0.22442857142857142
2021-09-26,509604,419971,7994,1577,0.23886930018526265,0.22528571428571428
2021-09-27,509926,420247,7980,1571,0.2384509651586685,0.22442857142857142
2021-09-28,510217,420645,7801,1524,0.23310225303292895,0.21771428571428572
2021-09-29,510652,420934,7726,1466,0.2308611725333174,0.20942857142857144
2021-09-30,510952,421264,7565,1414,0.2260503197274846,0.202
2021-10-01,511319,421579,7410,1355,0.22141875336162076,0.19357142857142856
2021-10-02,511596,421787,7294,1325,0.2179525488555549,0.18928571428571428
2021-10-03,511787,421839,7308,1326,0.21837088388214904,0.18942857142857142
2021-10-04,512047,422072,7299,1328,0.21810195422219567,0.18971428571428572
2021-10-05,512352,422510,7096,1279,0.2120360963365804,0.18271428571428572
2021-10-06,512749,422728,7038,1242,0.21030299408354747,0.17742857142857144
2021-10-07,512979,423001,6903,1200,0.2062690491842467,0.17142857142857143
2021-10-08,513327,423274,6805,1164,0.20334070399808762,0.1662857142857143
2021-10-09,513552,423485,6706,1127,0.20038247773860038,0.161
2021-10-10,513742,423537,6737,1132,0.20130879101177315,0.16171428571428573
2021-10-11,513930,423734,6729,1145,0.2010697424251479,0.16357142857142856
2021-10-12,514175,424018,6629,1111,0.1980816350923325,0.15871428571428572
2021-10-13,514490,424238,6601,1091,0.1972449650391442,0.15585714285714286
2021-10-14,514704,424464,6523,1075,0.1949142413195482,0.15357142857142858
2021-10-15,514992,424693,6470,1051,0.19333054443315603,0.15014285714285713
2021-10-16,515151,424817,6437,1049,0.19234446901332697,0.14985714285714286
2021-10-17,515251,424868,6448,1052,0.19267316081993666,0.15028571428571427
2021-10-18,515507,425074,6468,1049,0.19327078228649974,0.14985714285714286
2021-10-19,515759,425292,6483,1046,0.19371899838642204,0.14942857142857144
2021-10-20,515992,425537,6465,1026,0.19318113906651527,0.14657142857142857
2021-10-21,516273,425777,6453,1009,0.19282256618657742,0.14414285714285716
2021-10-22,516496,426012,6400,1010,0.19123886930018527,0.1442857142857143
2021-10-23,516721,426213,6348,1007,0.18968505348712125,0.14385714285714285
2021-10-24,516836,426243,6377,1018,0.1905516046136377,0.14542857142857143
2021-10-25,517064,426431,6405,1023,0.19138827466682604,0.14614285714285713
2021-10-26,517337,426654,6445,1049,0.19258351759995218,0.14985714285714286
2021-10-27,517557,426836,6489,1038,0.19389828482639096,0.1482857142857143
2021-10-28,517793,427031,6541,1037,0.19545210063945498,0.14814285714285713
2021-10-29,518016,427286,6534,1034,0.1952429331261579,0.14771428571428571
2021-10-30,518194,427445,6524,1039,0.19494412239287634,0.14842857142857144
2021-10-31,518308,427489,6572,1046,0.19637841391262775,0.14942857142857144
2021-11-01,518363,427519,6639,1069,0.19838044582561407,0.15271428571428572
2021-11-02,518693,427801,6680,1091,0.19960556983206837,0.15585714285714286
2021-11-03,519082,428108,6764,1096,0.2021155799916333,0.15657142857142858
2021-11-04,519325,428434,6718,1099,0.20074105061853822,0.157
2021-11-05,519696,428716,6735,1089,0.20124902886511684,0.15557142857142858
2021-11-06,519870,428950,6667,1099,0.19921711587880236,0.157
2021-11-07,520030,428990,6709,1101,0.20047212095858483,0.15728571428571428
2021-11-08,520459,429250,6865,1141,0.20513356839777686,0.163
2021-11-09,520701,429618,6851,1140,0.2047152333711827,0.16285714285714287
2021-11-10,521104,429919,6906,1154,0.20635869240423116,0.16485714285714287
2021-11-11,521256,430063,6952,1145,0.20773322177732625,0.16357142857142856
2021-11-12,521566,430277,7046,1182,0.2105420426701727,0.16885714285714284
2021-11-13,521691,430476,7050,1202,0.21066156696348534,0.1717142857142857
2021-11-14,521813,430524,7111,1210,0.21248431243650273,0.17285714285714285
2021-11-15,522359,430811,7361,1257,0.2199545807685412,0.17957142857142858
2021-11-16,522735,431216,7535,1277,0.22515388752763998,0.18242857142857144
2021-11-17,523082,431559,7663,1300,0.2289786649136437,0.18571428571428572
2021-11-18,523458,431887,7787,1333,0.23268391800633478,0.19042857142857142
2021-11-19,523865,432215,7940,1353,0.23725572222554234,0.19328571428571428
2021-11-20,523975,432421,7974,1333,0.2382716787186996,0.19042857142857142
2021-11-21,524096,432497,8038,1339,0.24018406741170142,0.19128571428571428
2021-11-22,524886,432957,8338,1406,0.2491483894101476,0.20085714285714285
2021-11-23,525311,433411,8525,1455,0.2547361501225124,0.20785714285714285
2021-11-24,525866,433833,8765,1483,0.26190760772126936,0.21185714285714285
2021-11-25,526391,434310,8981,1499,0.2683619195601506,0.21414285714285713
2021-11-26,526900,434775,9181,1563,0.2743381342257814,0.22328571428571428
2021-11-27,527076,435027,9271,1617,0.2770274308253152,0.231
2021-11-28,527211,435119,9381,1632,0.28031434889141216,0.23314285714285715
2021-11-29,528095,435531,9860,1749,0.29462738301559793,0.24985714285714286
2021-11-30,528775,436187,10249,1824,0.30625112054024983,0.26057142857142856
2021-12-01,529367,436766,10558,1886,0.3154843721986494,0.2694285714285714
2021-12-02,529990,437363,10790,1934,0.3224167812107811,0.2762857142857143
2021-12-03,530865,438044,11103,2058,0.3317695571624933,0.294
2021-12-04,531234,438440,11340,2037,0.33885137154126577,0.291
2021-12-05,531361,438589,11526,2066,0.3444092511803024,0.29514285714285715
2021-12-06,532585,439237,12096,2191,0.36144146297735014,0.313
2021-12-07,533626,440066,12714,2351,0.3799079662941493,0.33585714285714285
2021-12-08,534266,440865,13044,2426,0.3897687204924401,0.3465714285714286
2021-12-09,535155,441638,13363,2461,0.3993007828841212,0.3515714285714286
2021-12-10,536078,442473,13629,2498,0.4072491483894101,0.3568571428571429
2021-12-11,536570,442940,13855,2539,0.41400227096157294,0.3627142857142857
2021-12-12,536806,443159,14050,2602,0.419829080260563,0.3717142857142857
2021-12-13,538093,443933,14527,2752,0.4340823522380924,0.3931428571428571
2021-12-14,539233,445100,14819,2792,0.44280762564991333,0.39885714285714285
2021-12-15,540336,446101,15062,2843,0.45006872646865476,0.40614285714285714
2021-12-16,541393,447156,15142,2832,0.45245921233490705,0.4045714285714286
2021-12-17,542738,448151,15410,2901,0.46046733998685235,0.4144285714285714
2021-12-18,543255,448891,15370,2933,0.4592720970537262,0.419
2021-12-19,543765,449128,15528,2936,0.4639933066395745,0.41942857142857143
2021-12-20,545063,449970,15918,3025,0.47564692523755453,0.43214285714285716
2021-12-21,546284,451213,16076,3096,0.48036813482340285,0.4422857142857143
2021-12-22,547490,452365,16118,3147,0.48162313990318534,0.44957142857142857
2021-12-23,548777,453573,16060,3208,0.47989003765015237,0.4582857142857143
2021-12-24,550201,454659,16173,3254,0.4832665989362338,0.46485714285714286
2021-12-25,550825,455323,16162,3282,0.4829379071296241,0.46885714285714286
2021-12-26,551320,455508,16365,3299,0.48900376501523934,0.4712857142857143
2021-12-27,552716,456295,16921,3333,0.5056176417856929,0.47614285714285715
2021-12-28,554185,457594,17405,3416,0.5200800812765195,0.488
2021-12-29,555633,458891,17856,3469,0.5335564453475169,0.49557142857142855
2021-12-30,557059,460123,18321,3506,0.5474511444451085,0.5008571428571429
2021-12-31,558461,461407,18715,3543,0.5592242873364012,0.5061428571428571
2022-01-01,559132,462266,18811,3560,0.5620928703759039,0.5085714285714286
2022-01-02,559669,462576,19043,3572,0.5690252793880356,0.5102857142857142
2022-01-03,561557,463863,19606,3654,0.5858483236717863,0.522
2022-01-04,563824,465820,20186,3665,0.6031793462021156,0.5235714285714286
2022-01-05,565680,467508,20688,3695,0.6181796450128488,0.5278571428571428
2022-01-06,567536,469181,21169,3759,0.6325524412836909,0.537
2022-01-07,569300,470797,21605,3815,0.645580589254766,0.545
2022-01-08,570352,472027,21721,3821,0.6490467937608319,0.5458571428571428
2022-01-09,571048,472488,21982,3847,0.6568457538994801,0.5495714285714286
2022-01-10,573262,473916,22749,3904,0.6797645371421741,0.5577142857142857
2022-01-11,575593,476124,23371,3969,0.6983505647522859,0.567
2022-01-12,577708,478097,23889,3985,0.7138289607362697,0.5692857142857143
2022-01-13,579651,480068,24154,3939,0.7217474451682304,0.5627142857142857
2022-01-14,581830,481964,24511,3895,0.7324149883463814,0.5564285714285714
2022-01-15,583128,483438,24544,3852,0.7334010637662105,0.5502857142857143
2022-01-16,584105,484007,24887,3852,0.7436502719177673,0.5502857142857143
2022-01-17,586496,485556,25776,3913,0.7702145461064962,0.559
2022-01-18,589066,487977,26526,3881,0.7926253511026116,0.5544285714285714
2022-01-19,591466,490192,27230,3852,0.813661626725632,0.5502857142857143
2022-01-20,593772,492256,27931,3842,0.8346082591286679,0.5488571428571428
2022-01-21,596074,494500,28457,3792,0.8503257036992768,0.5417142857142857
2022-01-22,597479,496206,28515,3746,0.8520588059523098,0.5351428571428571
2022-01-23,598493,496840,28838,3760,0.8617103926373035,0.5371428571428571
2022-01-24,601439,498806,29748,3776,0.8889021693659236,0.5394285714285715
2022-01-25,604289,501762,30189,3741,0.9020797227036396,0.5344285714285715
2022-01-26,607109,504330,30624,3712,0.9150779896013865,0.5302857142857142
2022-01-27,609698,506728,30982,3694,0.9257754138528655,0.5277142857142857
2022-01-28,612375,509211,31271,3656,0.9344110440447021,0.5222857142857142
2022-01-29,613985,510921,31282,3634,0.9347397358513118,0.5191428571428571
2022-01-30,615046,511612,31536,3641,0.9423295284766628,0.5201428571428571
2022-01-31,617906,513540,32374,3700,0.9673698679256559,0.5285714285714286
2022-02-01,620887,516458,32894,3751,0.9829080260562959,0.5358571428571428
2022-02-02,623420,519409,32720,3700,0.9777087192971972,0.5285714285714286
2022-02-03,625961,521380,32852,3643,0.9816530209765135,0.5204285714285715
2022-02-04,629818,524878,32988,3618,0.9857168469491424,0.5168571428571429
2022-02-05,631462,526609,32867,3606,0.9821012370764358,0.5151428571428571
2022-02-06,632465,527202,33027,3577,0.9868822088089404,0.511
2022-02-07,635120,529180,33447,3622,0.9994322596067651,0.5174285714285715
2022-02-08,637727,531940,33352,3555,0.9965935576405904,0.5078571428571429
2022-02-09,640368,534705,32878,3503,0.9824299288830455,0.5004285714285714
2022-02-10,643192,537208,32415,3416,0.9685949919321102,0.488
2022-02-11,645989,539749,31939,3371,0.954371601027909,0.4815714285714286
2022-02-12,647771,541311,31522,3324,0.9419111934500687,0.47485714285714287
2022-02-13,648860,541777,31621,3305,0.944869419709556,0.47214285714285714
2022-02-14,650927,543647,31532,3296,0.9422100041833502,0.47085714285714286
2022-02-15,653412,546183,31091,3235,0.9290324508456343,0.46214285714285713
2022-02-16,655785,548385,30578,3126,0.9137034602282914,0.44657142857142856
2022-02-17,658151,550715,29843,3055,0.8917408713320982,0.43642857142857144
2022-02-18,660632,552837,29194,2970,0.8723480547421263,0.42428571428571427
2022-02-19,662230,554200,28632,2918,0.8555548915317038,0.41685714285714287
2022-02-20,663280,554598,28643,2923,0.8558835833383135,0.4175714285714286
2022-02-21,664820,556126,28383,2905,0.8481145042729935,0.415
2022-02-22,666875,558452,27566,2842,0.8237016673638917,0.406
2022-02-23,669253,560486,26881,2753,0.8032331321341063,0.3932857142857143
2022-02-24,671244,562358,26118,2656,0.7804338731847248,0.37942857142857145
2022-02-25,673285,564082,25484,2546,0.7614892726946751,0.3637142857142857
2022-02-26,674619,564911,25264,2484,0.7549154365624813,0.35485714285714287
2022-02-27,675214,565221,25277,2491,0.7553038905157473,0.35585714285714287
2022-02-28,676392,566378,25079,2456,0.7493874379967729,0.35085714285714287
2022-03-01,677889,568119,24437,2408,0.730203788920098,0.344
2022-03-02,679748,569768,23840,2329,0.7123647881431902,0.33271428571428574
2022-03-03,681327,571248,23175,2231,0.6924938743799677,0.3187142857142857
2022-03-04,682970,572604,22643,2153,0.6765971433693898,0.30757142857142855
2022-03-05,684035,573476,22196,2075,0.663240303591705,0.29642857142857143
2022-03-06,684734,573639,22253,2079,0.6649435247714098,0.297
2022-03-07,685915,574749,22208,2089,0.6635988764716428,0.29842857142857143
2022-03-08,687209,576142,21899,2036,0.6543656248132433,0.29085714285714287
2022-03-09,688629,577508,21509,1962,0.6427120062152633,0.2802857142857143
2022-03-10,690112,578723,21287,1928,0.6360784079364131,0.2754285714285714
2022-03-11,691411,579930,21024,1875,0.6282196856511086,0.26785714285714285
2022-03-12,692209,580578,20860,1857,0.6233191896252913,0.2652857142857143
2022-03-13,692650,580769,20917,1855,0.6250224108049961,0.265
2022-03-14,693889,581897,20925,1826,0.6252614593916214,0.26085714285714284
2022-03-15,695392,583270,20919,1783,0.6250821729516525,0.2547142857142857
2022-03-16,696659,584548,20757,1728,0.6202414390724915,0.24685714285714286
2022-03-17,697961,585730,20609,1695,0.6158190402199247,0.24214285714285713
2022-03-18,699242,586852,20519,1674,0.6131297436203909,0.23914285714285713
2022-03-19,699930,587475,20440,1644,0.6107691388274666,0.23485714285714285
2022-03-20,700326,587639,20566,1642,0.6145341540668141,0.23457142857142857
2022-03-21,701572,588719,20706,1632,0.6187175043327556,0.23314285714285715
2022-03-22,702916,590037,20742,1604,0.6197932229725692,0.22914285714285715
2022-03-23,704234,591389,20653,1564,0.6171338074463635,0.22342857142857142
2022-03-24,705649,592602,20654,1523,0.6171636885196916,0.21757142857142858
2022-03-25,707108,593988,20616,1489,0.6160282077332218,0.21271428571428572
2022-03-26,707763,594630,20532,1481,0.6135181975736569,0.21157142857142858
2022-03-27,708130,594814,20606,1486,0.6157293969999402,0.21228571428571427
2022-03-28,709712,595854,21073,1533,0.6296838582441882,0.219
2022-03-29,711106,597352,21300,1538,0.636466861889679,0.21971428571428572
2022-03-30,712720,598673,21688,1546,0.6480607183410028,0.22085714285714286
2022-03-31,714047,600034,21922,1551,0.6550528894997908,0.22157142857142856
2022-04-01,715466,601418,22066,1537,0.659355764059045,0.21957142857142858
2022-04-02,716277,602269,22113,1523,0.6607601745054682,0.21757142857142858
2022-04-03,716567,602444,22251,1539,0.6648837626247535,0.21985714285714286
2022-04-04,718417,603702,22835,1541,0.6823343094483953,0.22014285714285714
2022-04-05,719805,605372,23010,1552,0.6875634972808223,0.22171428571428572
2022-04-06,721572,607194,23014,1561,0.687683021574135,0.223
2022-04-07,723273,608546,23272,1572,0.6953923384927987,0.22457142857142856
2022-04-08,724884,610159,23404,1554,0.6993366401721149,0.222
2022-04-09,725837,611100,23474,1543,0.7014283153050858,0.22042857142857142
2022-04-10,726166,611319,23626,1562,0.7059702384509652,0.22314285714285714
2022-04-11,728083,612633,24205,1589,0.7232713799079663,0.227
2022-04-12,730066,614551,24693,1644,0.7378533436921054,0.23485714285714285
2022-04-13,731631,616385,24778,1650,0.7403932349249985,0.2357142857142857
2022-04-14,733354,618020,24828,1648,0.7418872885914062,0.23542857142857143
2022-04-15,735204,619696,24909,1652,0.7443076555309867,0.236
2022-04-16,735992,620535,24894,1630,0.7438594394310644,0.23285714285714285
2022-04-17,736315,620786,24922,1636,0.7446961094842527,0.2337142857142857
2022-04-18,736615,621002,24990,1635,0.7467280224705671,0.23357142857142857
2022-04-19,738711,622698,25277,1681,0.7553038905157473,0.24014285714285713
2022-04-20,740871,625022,25179,1677,0.7523755453295883,0.23957142857142857
2022-04-21,742769,626816,25018,1684,0.7475646925237555,0.24057142857142857
2022-04-22,744726,628608,24883,1645,0.7435307476244547,0.235
2022-04-23,745754,629485,24840,1636,0.7422458614713441,0.2337142857142857
2022-04-24,746161,629768,24888,1640,0.7436801529910955,0.2342857142857143
2022-04-25,747936,631303,24980,1659,0.7464292117372856,0.237
