date,admissions,discharges,hosp,rea,hosp_rel,icu_rate
2020-07-07,96825,77644,7550,511,0.2256021036275623,0.073
2020-07-08,97158,77985,7254,503,0.21675730592242873,0.07185714285714286
2020-07-09,97522,78159,7134,486,0.21317157712305027,0.06942857142857142
2020-07-10,97771,78377,7020,471,0.2097651347636407,0.06728571428571428
2020-07-11,97943,78454,6995,470,0.20901810793043687,0.06714285714285714
2020-07-12,97997,78486,6991,473,0.20889858363712424,0.06757142857142857
2020-07-13,98069,78586,6941,467,0.20740452997071654,0.06671428571428571
2020-07-14,98175,78670,6907,465,0.20638857347755932,0.06642857142857143
2020-07-15,98334,78809,6873,457,0.20537261698440207,0.06528571428571428
2020-07-16,98483,79025,6754,456,0.20181676925835176,0.06514285714285714
2020-07-17,98716,79233,6646,452,0.19858961333891115,0.06457142857142857
2020-07-18,98889,79322,6614,450,0.19763341899241021,0.06428571428571428
2020-07-19,98953,79384,6583,448,0.19670710571923744,0.064
2020-07-20,99110,79530,6547,442,0.1956313870794239,0.06314285714285714
2020-07-21,99245,79723,6440,430,0.19243411223331142,0.06142857142857143
2020-07-22,99466,79946,6324,420,0.18896790772724556,0.06
2020-07-23,99698,80461,5915,411,0.1767465487360306,0.05871428571428571
2020-07-24,100223,80804,5678,385,0.16966473435725812,0.055
2020-07-25,100535,80915,5634,368,0.16834996713081934,0.052571428571428575
2020-07-26,100618,80947,5640,367,0.16852925357078827,0.05242857142857143
2020-07-27,100718,81071,5614,374,0.16775234566425626,0.05342857142857143
2020-07-28,100884,81300,5510,361,0.16464471403812825,0.051571428571428574
2020-07-29,101091,81489,5409,356,0.1616267256319847,0.05085714285714286
2020-07-30,101300,81656,5334,357,0.15938564513237316,0.051
2020-07-31,101523,81870,5257,347,0.1570848024861053,0.04957142857142857
2020-08-01,101672,82016,5177,344,0.15469431661985297,0.04914285714285714
2020-08-02,101777,82029,5188,345,0.1550230084264627,0.04928571428571429
2020-08-03,101883,82155,5157,360,0.15409669515328991,0.05142857142857143
2020-08-04,102041,82307,5121,364,0.15302097651347638,0.052
2020-08-05,102214,82449,5107,360,0.1526026414868822,0.05142857142857143
2020-08-06,102357,82659,5019,366,0.14997310703400465,0.05228571428571428
2020-08-07,102574,82825,4970,359,0.1485089344409251,0.05128571428571429
2020-08-08,102692,82881,4981,366,0.1488376262475348,0.05228571428571428
2020-08-09,102697,82886,4992,368,0.14916631805414451,0.052571428571428575
2020-08-10,102862,83036,5004,372,0.14952489093408236,0.053142857142857144
2020-08-11,103022,83226,4971,367,0.14853881551425327,0.05242857142857143
